;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cennik obowiązuje od dnia 7 lutego 2014 r.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Opakowanie jednostkowe;;;;;Karton wewnętrzny;;;;;Karton duży;;;;;;
Kod towaru;Nazwa artykułu;NOWOŚĆ;Cena netto katalogowa;;Kategoria;Podkategoria;Opis;Opis cech;Opis dodatkowy;Podstawowy materiał wykonania;Dodatkowy materiał wykonania;Kategoria zdobienia;Sugerowana technika zdobienia;Liczba kolorów;Długość obszaru;Szerokość obszaru;Długość produktu;Szerokość produktu;Wysokość produktu;Materiał wykonania opakowania;Rodzaj opakowania jedn.;Kolor opakowania jedn.;Baterie;Cechy specyficzne;Kolor podstawowy;Kolor dodatkowy;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Ilość w jednostkach podstawowych;Ilość na palecie wysyłkowej
R00425.10;Długopis Quito;;14,30 zł;;Piśmiennicze;Długopisy;Poręczny czarny metalowy długopis z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy pod skuwką techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;140.0;13.0;13.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.6;1.5;160.0;120.0;90.0;16.0;15.0;470.0;270.0;190.0;500;30000
R00425.30;Pióro kulkowe Quito;;15,80 zł;;Piśmiennicze;Pióra kulkowe;Poręczne metalowe czarne pióro kulkowe z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy pod skuwką techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;140.0;13.0;13.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.7;1.6;160.0;120.0;90.0;17.0;16.0;470.0;270.0;190.0;500;30000
R00428.10;Długopis Caracas;;13,50 zł;;Piśmiennicze;Długopisy;Zgrabny metalowy długopis w kolorze ciemnoczerwonym  z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy na korpus techniką tampondruku.;niebieski wkład;;metal;;A3;tampodruk;1;35;6;137.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;1.65;1.5;160.0;120.0;90.0;16.5;15.0;470.0;270.0;190.0;500;30000
R00428.30;Pióro kulkowe Caracas;;14,90 zł;;Piśmiennicze;Pióra kulkowe;Zgrabne metalowe  pióro kulkowe w kolorze ciemnoczerwonym  z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy na korpus techniką tampondruku.;niebieski wkład;;metal;;A3;tampodruk;1;35;6;137.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;;;;;;1.7;1.6;160.0;120.0;90.0;17.0;16.0;470.0;270.0;190.0;500;30000
R00429.10;Długopis Brasilia;;14,90 zł;;Piśmiennicze;Długopisy;Czarny metalowy długopis  z chromowanymi błyszczącymi wykończeniami. Wyposażony w wkład w kolorze niebieskim. Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;137.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.6;1.5;160.0;120.0;90.0;16.0;15.0;470.0;270.0;190.0;500;30000
R00429.30;Pióro kulkowe Brasilia;;15,90 zł;;Piśmiennicze;Pióra kulkowe;Czarne metalowe pióro kulkowe z chromowanymi błyszczącymi wykończeniami. Wyposażone w wkład w kolorze niebieskim.Logo naniesiemy na korpus techniką grawerki laserowej.;niebieski wkład;;metal;;L1;laser;1;35;6;137.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.7;1.6;160.0;120.0;90.0;17.0;16.0;470.0;270.0;190.0;500;30000
R00435.10;Długopis Classic;;19,98 zł;;Piśmiennicze;Długopisy;Długopis metalowy z niebieskim wkładem. Pakowany w woreczek foliowy. Logo naniesiemy techniką grawerki laserowej.;;?  12 mm;metal;;L1;laser;1;27;5;145.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;;;;;;1.65;1.55;160.0;170.0;50.0;16.5;15.5;350.0;320.0;190.0;500;24000
R00435.30;Pióro kulkowe Classic;;21,98 zł;;Piśmiennicze;Długopisy;Metalowe pióro kulkowe z niebieskim wkładem. Pakowane w woreczek foliowy. Logo naniesiemy techniką grawerki laserowej.;;?  12 mm;metal;;L1;laser;1;27;5;145.0;12.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;srebrny;;;;;;1.65;1.55;160.0;170.0;50.0;16.5;15.5;350.0;320.0;190.0;500;24000
R00440.10;Długopis Marvel;;13,90 zł;;Piśmiennicze;Długopisy;Metalowy czarno-srebrny długopis. Wyposażony w niebieski wkład. Pakowany w woreczek foliowy.;;;Metal;;L1;laser;1;25;6;138.0;11.0;11.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.25;1.15;160.0;160.0;70.0;19.0;18.5;350.0;320.0;190.0;500;24000
R00441;Długopis Snake;;19,90 zł;;Piśmiennicze;Długopisy;Długopis metalowy wyposażony w niebieski wkład. Pakowany w woreczek foliowy. Logo naniesiemy techniką grawerki laserowej.;;? 10 mm;metal;;L1;laser;1;35;6;140.0;10.0;10.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.65;1.55;160.0;150.0;65.0;16.5;15.5;350.0;320.0;190.0;500;24000
R00442.02;Długopis Ferro;;7,35 zł;;Piśmiennicze;Długopisy;Wykonany ze stali nierdzewnej długopis pokryty błyszczącym lakierem. Srebrne chromowane wykończenia. Wyposażony w niebieski wkład. Pakowany w woreczek foliowy.;;;metal;;L1;laser;1;35;6;130.0;11.0;11.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;1.25;1.15;160.0;120.0;80.0;10.5;10.0;430.0;250.0;180.0;500;24000
R00454.10;Mauritius długopis niebieski matowy ze srebrnymi wykończeniami;;12,85 zł;;Piśmiennicze;Długopisy;Matowy granatowy metalowy długopis z srebrnymi wykończeniami. Wkład w kolorze czarnym. Pakowany  w woreczek foliowy.;;;metal;;A3;tampodruk;4;35;5;135.0;15.0;12.0;folia;woreczek foliowy;bezbarwny;;;granatowy;;0.04;0.04;135.0;15.0;12.0;0.4;0.38;140.0;140.0;20.0;20.0;19.0;440.0;310.0;150.0;500;24000
