;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cennik obowiązuje od dnia 7 lutego 2014 r.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Opakowanie jednostkowe;;;;;Karton wewnętrzny;;;;;Karton duży;;;;;;
Kod towaru;Nazwa artykułu;NOWOŚĆ;Cena netto katalogowa;;Kategoria;Podkategoria;Opis;Opis cech;Opis dodatkowy;Podstawowy materiał wykonania;Dodatkowy materiał wykonania;Kategoria zdobienia;Sugerowana technika zdobienia;Liczba kolorów;Długość obszaru;Szerokość obszaru;Długość produktu;Szerokość produktu;Wysokość produktu;Materiał wykonania opakowania;Rodzaj opakowania jedn.;Kolor opakowania jedn.;Baterie;Cechy specyficzne;Kolor podstawowy;Kolor dodatkowy;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Waga brutto;Waga netto;Długość;Szerokość;Wysokość;Ilość w jednostkach podstawowych;Ilość na palecie wysyłkowej
R41202.02;Portfel - czarny;;89,80 zł;;Upominki ze skóry;Portmonetki i portfele;Starannie wykończony skórzany portfel. Atrakcyjny prezent  dla ważnego kontrahenta. Posiada zasuwane przegródkę na banknoty,  bilonówkę oraz kieszonki na karty kredytowe i dokumenty identyfikacyjne. Pakowany w beżowe kartonowe opakowanie upominkowe. Proponujemy udekorowanie upominku na zewnątrz lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;125.0;20.0;100.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.16;0.15;111.0;141.0;33.0;;;;;;16.0;15.0;584.0;337.0;305.0;100;2400
R41202.10;Portfel - brązowy;;89,80 zł;;Upominki ze skóry;Portmonetki i portfele;Starannie wykończony skórzany portfel. Atrakcyjny prezent  dla ważnego kontrahenta. Posiada zasuwane przegródkę na banknoty, bilonówkę oraz kieszonki na karty kredytowe i dokumenty identyfikacyjne. Pakowany w beżowe kartonowe opakowanie upominkowe. Proponujemy udekorowanie upominku na zewnątrz lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;125.0;20.0;100.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.16;0.15;111.0;141.0;33.0;;;;;;16.0;15.0;584.0;337.0;305.0;100;2400
R41203.02;Portfel - czarny;;59,90 zł;;Upominki ze skóry;Portmonetki i portfele;Wykonany ze skóry popularny portfel. Oferowany w 2 kolorach. Posiada przegródkę na banknoty, bilonówkę oraz kieszonki na karty kredytowe i dokumenty identyfikacyjne. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na zewnątrz portfela lub na wewnętrznej kieszonce metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;85.0;20.0;100.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.12;0.09;107.0;127.0;31.0;;;;;;12.0;9.0;559.0;343.0;292.0;100;2400
R41203.10;Portfel - brązowy;;59,90 zł;;Upominki ze skóry;Portmonetki i portfele;Wykonany ze skóry popularny portfel. Oferowany w 2 kolorach. Posiada przegródkę na banknoty, bilonówkę oraz kieszonki na karty kredytowe i dokumenty identyfikacyjne. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na zewnątrz portfela lub na wewnętrznej kieszonce metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;30;30;85.0;20.0;100.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.12;0.09;107.0;127.0;31.0;;;;;;12.0;9.0;559.0;343.0;292.0;100;2400
R41204.02;Portfel - czarny;;99,80 zł;;Upominki ze skóry;Portmonetki i portfele;Pomysłowo zaprojektowany portfel skórzany. Posiada przegródkę na banknoty, bilonówkę oraz wiele kieszonek na karty kredytowe i dokumenty identyfikacyjne. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na zewnątrz portfela lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;100.0;20.0;130.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.16;0.15;111.0;141.0;30.0;;;;;;16.0;15.0;580.0;330.0;300.0;100;2400
R41204.10;Portfel - brązowy;;99,80 zł;;Upominki ze skóry;Portmonetki i portfele;Pomysłowo zaprojektowany portfel skórzany. Posiada przegródkę na banknoty,  bilonówkę oraz wiele kieszonek na karty kredytowe i dokumenty identyfikacyjne. Pakowana w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na zewnątrz portfela lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;100.0;20.0;130.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.0;0.0;111.0;141.0;30.0;;;;;;16.0;15.0;580.0;330.0;300.0;100;3600
R41206.02;Portfel - czarny;;74,90 zł;;Upominki ze skóry;Portmonetki i portfele;Portfel skórzany oferowany 2 kolorach. Posiada kieszonkę na zamek, miejsca na wizytówki, przegródkę na banknoty oraz transparentne kieszonki na kalendarzyk czy dowód rejestracyjny. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo możemy nanieść na portfel  metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;95.0;20.0;130.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.15;0.14;140.0;110.0;33.0;;;;;;15.0;14.0;584.0;330.0;305.0;100;2400
R41206.10;Portfel - brązowy;;74,90 zł;;Upominki ze skóry;Portmonetki i portfele;Portfel skórzany oferowany 2 kolorach. Posiada kieszonkę na zamek, miejsca na wizytówki, przegródkę na banknoty oraz transparentne kieszonki na kalendarzyk czy dowód rejestracyjny. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo możemy nanieść na portfel  metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;130.0;20.0;95.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.15;0.14;140.0;110.0;33.0;;;;;;15.0;14.0;584.0;330.0;305.0;100;2400
R41207.02;Portfel - czarny;;89,80 zł;;Upominki ze skóry;Portmonetki i portfele;Portfel skórzany oferowany w  2 kolorach. Posiada kieszonkę na zamek, miejsca na wizytówki, przegródkę na banknoty oraz transparentne kieszonki na kalendarzyk czy dowód rejestracyjny. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo możemy nanieść na portfel techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;95.0;20.0;130.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.09;0.08;140.0;110.0;33.0;;;;;;9.0;8.0;584.0;330.0;305.0;100;2400
R41207.10;Portfel - brązowy;;89,80 zł;;Upominki ze skóry;Portmonetki i portfele;Portfel skórzany oferowany w 2 kolorach. Posiada kieszonkę na zamek, miejsca na wizytówki, przegródkę na banknoty oraz transparentne kieszonki na kalendarzyk czy dowód rejestracyjny. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo możemy nanieść na portfel techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;95.0;20.0;130.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.09;0.08;140.0;110.0;33.0;;;;;;9.0;8.0;584.0;330.0;305.0;100;2400
R41215.02;Bilonówka - czarna;;44,90 zł;;Upominki ze skóry;Na szczególną okazję;Bilonówka wykonana z skóry naturalnej. Oferowana w kolorze czarnym i brązowym. Pakowana w beżowe opakowanie upominkowe. Logo naniesiemy na bilonówkę techniką tłoczenia.;;;skóra;;T;tłoczenie;1;40;40;90.0;80.0;25.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.1;0.08;130.0;110.0;28.0;;;;;;10.1;8.0;610.0;305.0;305.0;100;2400
R41215.10;Bilonówka - brązowa;;44,90 zł;;Upominki ze skóry;Na szczególną okazję;Bilonówka wykonana z skóry naturalnej. Oferowana w kolorze czarnym i brązowym. Pakowana w beżowe opakowanie upominkowe. Logo naniesiemy na bilonówkę techniką tłoczenia.;;;skóra;;T;tłoczenie;1;40;40;90.0;80.0;25.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.1;0.08;130.0;110.0;28.0;;;;;;10.1;8.0;610.0;305.0;305.0;100;2400
R41301.10;Etui pojedyncze - brązowe;;34,90 zł;;Upominki ze skóry;Etui skórzane;Eleganckie skórzane etui na długopis lub pióro oferowane w 2 kolorach. Pakowane w opakowanie upominkowe. Logo umieścimy na zewnątrz etui metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;23;40;35.0;20.0;160.0;karton;pudełko;beżowy;;;brązowy;;0.11;0.08;70.0;170.0;33.0;;;;;;11.0;8.0;350.0;340.0;370.0;100;2400
R41302.10;Etui podwójne - brązowe;;39,90 zł;;Upominki ze skóry;Etui skórzane;Eleganckie skórzane etui na 2-elementowy zestaw piśmienniczy oferowane w 2 kolorach. Pakowane w opakowanie upominkowe.  Logo umieścimy na zewnątrz etui metodą tłoczenia. ;;;skóra;;T;tłoczenie;1;35;25;50.0;20.0;160.0;karton;pudełko;beżowy;;;brązowy;;0.11;0.08;65.0;170.0;30.0;;;;;;11.0;8.0;360.0;340.0;370.0;100;2400
R41303.02;Etui na wizytówki - czarne;;44,90 zł;;Upominki ze skóry;Etui skórzane;Skórzane etui na wizytówki. Niezbędny atrybut każdego managera. Pakowane w beżowe  kartonowe opakowanie upominkowe. Logo naniesiemy na zewnątrz lub na wewnętrzną kieszonkę techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;25;110.0;15.0;75.0;karton;pudełko;beżowy;;;czarny;;0.1;0.08;105.0;125.0;30.0;;;;;;10.0;8.0;584.0;337.0;305.0;100;2400
R41303.10;Etui na wizytówki - brązowe;;44,90 zł;;Upominki ze skóry;Etui skórzane;Skórzane etui na wizytówki oferowane w 2 kolorach. Niezbędny atrybut każdego managera. Pakowane w beżowe  kartonowe opakowanie upominkowe. Logo naniesiemy na zewnątrz lub na wewnętrzną kieszonkę techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;25;110.0;15.0;75.0;karton;pudełko;beżowy;;;brązowy;;0.1;0.08;105.0;125.0;30.0;;;;;;10.0;8.0;584.0;337.0;305.0;100;2400
R41304.02;Etui na dokumenty - czarne;;39,80 zł;;Upominki ze skóry;Etui skórzane;Wykonane ze skóry praktyczne etui na dowód osobisty, prawo jazdy i dowód rejestracyjny.  Pakowane w  beżowe kartonowe opakowanie upominkowe. Logo naniesiemy na zewnątrz lub wewnątrz etui techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;95.0;6.0;120.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.14;0.1;110.0;140.0;30.0;;;;;;14.0;10.0;584.0;337.0;305.0;100;2400
R41304.10;Etui na dokumenty - brązowe;;39,80 zł;;Upominki ze skóry;Etui skórzane;Wykonane ze skóry praktyczne etui na dowód osobisty, prawo jazdy i dowód rejestracyjny. Pakowane w  beżowe kartonowe opakowanie upominkowe. Logo naniesiemy na zewnątrz lub wewnątrz etui techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;95.0;6.0;120.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.14;0.1;110.0;140.0;30.0;;;;;;14.0;10.0;584.0;337.0;305.0;100;2400
R41305.02;Etui na dokumenty i karty kredytowe - czarne;;49,80 zł;;Upominki ze skóry;Etui skórzane;Stylowe etui na karty kredytowe, dokumenty identyfikacyjne wykonane ze skóry. Pakowane w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na wewnętrzną kieszonkę lub na zewnątrz przy pomocy tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;105.0;8.0;120.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.13;0.11;118.0;138.0;28.0;;;;;;13.0;11.0;590.0;300.0;300.0;100;2400
R41305.10;Etui na dokumenty i karty kredytowe - brązowe;;49,80 zł;;Upominki ze skóry;Etui skórzane;Stylowe etui na karty kredytowe, dokumenty identyfikacyjne wykonane ze skóry. Pakowane w  beżowe  kartonowe opakowanie upominkowe. Logo umieścimy na wewnętrzną kieszonkę lub na zewnątrz przy pomocy tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;105.0;8.0;120.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.13;0.09;118.0;138.0;28.0;;;;;;13.0;9.0;590.0;300.0;300.0;100;2400
R41307.02;Etui na karty kredytowe - czarne;;39,90 zł;;Upominki ze skóry;Etui skórzane;Elegancki i praktyczny prezent. Wykonane z skóry etui na karty kredytowe oferowane w 2 kolorach. Pakowane w beżowe  kartonowe opakowanie upominkowe. Logo umieścimy na wewnętrznej kieszonce lub na zewnątrz techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;80.0;8.0;110.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.14;0.07;106.0;126.0;30.0;;;;;;14.0;7.0;584.0;337.0;305.0;100;2400
R41320.02;Wizytownik o pojemności 84 szt. - czarny;;69,90 zł;;Upominki ze skóry;Na szczególną okazję;Ekskluzywny oprawiony w skórę, a w środku wykonany z eko-skóry wizytownik na 84 wizytówki. Pakowany w  beżowe  kartonowe opakowanie upominkowe. Logotyp umieścimy na wewnętrznej kieszonce grawerką laserową lub na zewnątrz techniką tłoczenia. ;Pojemność 84 szt;;skóra;Eko-skóra wewnątrz;T;tłoczenie;1;40;40;120.0;40.0;190.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.32;0.28;137.0;205.0;30.0;;;;;;32.0;29.0;710.0;320.0;440.0;100;1800
R41321.10;Wizytownik z ringiem, pojemność 120 szt. - brązowy;;94,90 zł;;Upominki ze skóry;Na szczególną okazję;Networking w biznesie to podstawa sukcesu. Ten wytworny wizytownik z ringiem który mieści 120 wizytówek jest nieocenionym prezentem. Oprawiony w skórę, w środku wykonany z eko-skóry. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo naniesiemy na wewnętrzną kieszonkę techniką grawerki laserowej lub na zewnątrz upominku techniką tłoczenia. ;Pojemność 120 szt;;skóra;Eko-skóra wewnątrz;T;tłoczenie;1;40;40;135.0;40.0;225.0;karton;opakowanie upominkowe;beżowy;;Srebrny;brązowy;;0.32;0.3;163.0;242.0;48.0;;;;;;32.0;30.0;826.0;495.0;267.0;50;800
R41322.02;Etui na wizytówki i karty kredytowe - czarne;;44,90 zł;;Upominki ze skóry;Etui skórzane;Skórzane etui na wizytówki i karty kredytowe. Bez kłopotu zmieści się w kieszeni marynarki lub małej torebce. Pakowane w beżowe kartonowe opakowanie upominkowe.  Logo proponujemy umieścić na zewnątrz etui lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;70.0;10.0;110.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.0;0.0;110.0;130.0;30.0;;;;;;10.0;8.0;610.0;305.0;305.0;100;2400
R41322.10;Etui na wizytówki i karty kredytowe - brązowe;;44,90 zł;;Upominki ze skóry;Etui skórzane;Skórzane etui na wizytówki i karty kredytowe. Bez kłopotu zmieści się w kieszeni marynarki lub małej torebce. Pakowane w beżowe kartonowe opakowanie upominkowe. Logo proponujemy umieścić na zewnątrz etui lub na wewnętrznej kieszonce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;70.0;10.0;110.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.1;0.08;110.0;130.0;30.0;;;;;;10.0;8.0;610.0;305.0;305.0;100;2400
R41323.02;Portfel podróżny - czarny;;134,90 zł;;Upominki ze skóry;Portmonetki i portfele;Skórzany portfel podróżny niezbędny w każdej  dalszej wyprawie. Oferowany w 2 kolorach. Wyposazony w przegródkę na bilety lotnicze i banknoty, kieszonki na dokumenty i czeki podróżne oraz kieszonki na karty kredytowe. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na portfelu techniką tłoczenia.;;;skóra;;T;tłoczenie;1;40;40;115.0;15.0;230.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.29;0.17;145.0;245.0;30.0;;;;;;14.7;8.3;755.0;305.0;275.0;50;1200
R41323.10;Portfel podróżny - brązowy;;134,90 zł;;Upominki ze skóry;Portmonetki i portfele;Skórzany portfel podróżny niezbędny w każdej  dalszej wyprawie. Oferowany w 2 kolorach. Wyposażony w przegródkę na bilety lotnicze i banknoty, kieszonki na dokumenty i czeki podróżne oraz kieszonki na karty kredytowe. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na portfelu techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;40;40;115.0;15.0;230.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.29;0.17;145.0;245.0;30.0;;;;;;14.7;8.3;755.0;305.0;275.0;50;1200
R41401.02;Kosmetyczka - czarna;;109,80 zł;;Upominki ze skóry;Na szczególną okazję;Ekskluzywna kosmetyczka wykonana ze skóry. Kosmetyczka owinięta jest w tekstylny woreczek z zaciskowym sznurkiem i pakowana w kartonowe opakowanie. Logo umieścimy na kosmetyczce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;30;10;200.0;95.0;100.0;karton;pudełko kartonowe;szary;;;czarny;;0.06;0.04;125.0;240.0;130.0;;;;;;6.0;4.0;660.0;267.0;279.0;10;240
R41401.10;Kosmetyczka - brązowa;;109,80 zł;;Upominki ze skóry;Na szczególną okazję;Ekskluzywna kosmetyczka wykonana ze skóry. Kosmetyczka owinięta jest w tekstylny woreczek z zaciskowym sznurkiem i pakowana w kartonowe opakowanie. Logo umieścimy na kosmetyczce techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;30;10;200.0;95.0;100.0;karton;pudełko kartonowe;szary;;;brązowy;;0.06;0.04;125.0;240.0;130.0;;;;;;6.0;4.0;660.0;267.0;279.0;10;240
R41402.02;Kosmetyczka - czarna;;74,90 zł;;Upominki ze skóry;Na szczególną okazję;Elegancka skórzana kosmetyczka. Dodatkowo posiada tkaninowy woreczek z zaciskowym sznurkiem i pakowana jest w kartonowe opakowanie. Logo naniesiemy na kosmetyczkę techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;30;15;190.0;40.0;120.0;karton;pudełko kartonowe;szary;;;czarny;;0.07;0.06;145.0;210.0;60.0;;;;;;7.0;6.0;622.0;318.0;229.0;20;720
R41402.10;Kosmetyczka - brązowa;;74,90 zł;;Upominki ze skóry;Na szczególną okazję;Elegancka skórzana kosmetyczka. Dodatkowo posiada tkaninowy woreczek z zaciskowym sznurkiem i pakowana jest w kartonowe opakowanie. Logo naniesiemy na kosmetyczkę techniką tłoczenia. ;;;skóra;;T;tłoczenie;1;30;15;190.0;40.0;120.0;karton;pudełko kartonowe;szary;;;brązowy;;0.07;0.06;145.0;210.0;60.0;;;;;;7.0;6.0;622.0;318.0;229.0;20;720
R41501.02;Brelok - czarny;;14,90 zł;;Upominki ze skóry;Na szczególną okazję;Skórzany brelok oferowany w kolorze czarnym lub brązowym. Pakowany w beżowe  kartonowe opakowanie upominkowe. Logo naniesiemy na brelok techniką tłoczenia. ;;;skóra;metal;T;tłoczenie;1;20;30;40.0;7.0;60.0;karton;opakowanie upominkowe;beżowy;;Srebrny;czarny;;0.13;0.06;111.0;131.0;30.0;;;;;;13.0;6.0;610.0;356.0;305.0;100;2400
R41501.10;Brelok - brązowy;;14,90 zł;;Upominki ze skóry;Na szczególną okazję;Skórzany brelok oferowany w kolorze czarnym lub brązowym. Pakowany w beżowe kartonowe opakowanie upominkowe. Logo naniesiemy na brelok techniką tłoczenia. ;;;skóra;metal;T;tłoczenie;1;20;30;40.0;7.0;60.0;karton;opakowanie upominkowe;beżowy;;Złoty;brązowy;;0.13;0.06;111.0;131.0;30.0;;;;;;13.0;6.0;610.0;356.0;305.0;100;2400
R41502.02;Etui na klucze - czarne;;38,90 zł;;Upominki ze skóry;Etui skórzane;Wytworne skórzane etui na klucze oferowane w 2 kolorach.  Pakowane w beżowe  kartonowe opakowanie upominkowe. Logo umieścimy na etui techniką tłoczenia. ;;;skóra;metal;T;tłoczenie;1;37;40;55.0;15.0;120.0;karton;opakowanie upominkowe;beżowy;;Srebrny;czarny;;0.09;0.08;111.0;131.0;30.0;;;;;;9.0;8.0;610.0;305.0;305.0;100;2400
R41502.10;Etui na klucze - brązowe;;38,90 zł;;Upominki ze skóry;Etui skórzane;Wytworne skórzane etui na klucze oferowane w 2 kolorach.  Pakowane w beżowe kartonowe opakowanie upominkowe. Logo umieścimy na etui techniką tłoczenia. ;;;skóra;metal;T;tłoczenie;1;37;40;55.0;15.0;120.0;karton;opakowanie upominkowe;beżowy;;Złoyty;brązowy;;0.0;0.0;111.0;131.0;30.0;;;;;;9.0;8.0;610.0;305.0;305.0;100;2400
R41503.02;Etui na klucze - czarne;;38,90 zł;;Upominki ze skóry;Etui skórzane;Etui na klucze wykonane z skóry naturalnej. Oferowane w kolorze czarnym i brązowym. Pakowane w beżowe opakowanie upominkowe. Logo naniesiemy na etui techniką tłoczenia.;;;skóra;;T;tłoczenie;1;40;20;130.0;75.0;10.0;karton;opakowanie upominkowe;beżowy;;;czarny;;0.12;0.08;120.0;170.0;30.0;;;;;;11.6;7.6;620.0;340.0;380.0;100;2000
R41503.10;Etui na klucze - brązowe;;38,90 zł;;Upominki ze skóry;Etui skórzane;Etui na klucze wykonane z skóry naturalnej. Oferowane w kolorze czarnym i brązowym. Pakowane w beżowe opakowanie upominkowe. Logo naniesiemy na etui techniką tłoczenia.;;;skóra;;T;tłoczenie;1;40;20;130.0;75.0;10.0;karton;opakowanie upominkowe;beżowy;;;brązowy;;0.11;0.1;120.0;170.0;30.0;;;;;;11.6;10.4;660.0;340.0;375.0;100;2000
R41601.02;Biwuar - czarny;;248,00 zł;;Upominki ze skóry;Na szczególną okazję;Wytworny biwuar wykonany ze skóry w kolorze czarnym lub brązowym. Wyposażony w kalkulator, metalowy ring, wkład papierowy A4, kieszeń na zamek, dwa uchwyty na długopisy,  przegródkę na dokumenty, kieszonki na wizytówki oraz dwie przezroczyste kieszenie. Idealny prezent dla ważnego klienta. Pakowany w beżowe kartonowe opakowanie upominkowe.  Logo naniesiemy na okładce biwuaru techniką tłoczenia. ;;;skóra;metal;T;tłoczenie;1;45;30;365.0;50.0;290.0;karton;opakowanie upominkowe;beżowy;;Srebrny;czarny;;1.0;1.0;315.0;385.0;65.0;;;;;;18.0;16.0;686.0;343.0;406.0;10;160
R50180;Lampka USB;;12,90 zł;;Elektronika;Akcesoria komputerowe;Wykonana z plastiku lampka USB do podświetlania laptopa.  Praktyczny upominek dla każdego posiadacza notebooka.  Pakowana w czarne kartonowe pudełko.  Logo umieścimy na oprawie lampki lub pudełku techniką tampondruku;;?6;plastik;metal;L1;laser;4;24;5;450.0;6.0;6.0;karton;pudełko;czarny;;Srebrny;czarny;;0.07;0.06;120.0;110.0;23.0;;;;;;10.0;9.0;570.0;180.0;440.0;150;6000
R64025;Lupa z diodą;;7,80 zł;;Do biura;Akcesoria osobiste;Wykonana z szkła i plastiku lupa powiększająca z podświetlającą diodą. Zasilana baterią (w cenie produktu). Pakowana w woreczek foliowy. Logo naniesiemy na uchwyt lupy techniką tampondruku. ;;;plastik;szkło;A2;tampodruk;4;55;16;145.0;12.0;65.0;folia;woreczek foliowy;bezbarwny;TAK;;srebrny;;0.05;0.05;160.0;65.0;15.0;3.0;2.5;400.0;170.0;140.0;14.0;13.0;410.0;300.0;350.0;200;6400
R64032;Nóż do listów;;0,98 zł;;Do biura;Akcesoria osobiste;Plastikowy noż do listów z linijką. Pakowany w woreczek foliowy. Logo naniesiemy na nóż techniką tampondruku. ;;;plastik;;A1;tampodruk;4;30;10;170.0;5.0;32.0;folia;woreczek foliowy;bezbarwny;;;granatowy;;0.01;0.01;180.0;40.0;5.0;1.3;1.3;280.0;180.0;80.0;7.0;6.0;350.0;290.0;190.0;500;40000
R64040;Etui na CD;;3,90 zł;;Do biura;Etui na CD;Aluminiowe etui na 12 płyt CD lub DVD. Pakowane w woreczek foliowy. Logo naniesiemy na etui techniką grawerki laserowej.;Pojemność 12 szt;? 155 mm;aluminium;;L2;laser;1;30;30;155.0;155.0;30.0;folia;woreczek foliowy;bezbarwny;;;srebrny;;0.12;0.1;155.0;155.0;30.0;;;;;;13.5;12.0;500.0;480.0;330.0;120;1440
R64154;Wizytownik;;7,50 zł;;Do biura;Wizytowniki;Wykonany z eko-skóry i metalu wizytownik mieszczący 15 wizytówek. Pakowany w srebrne kartonowe pudełko. Logo naniesiemy na ozdobnym metalowym elemencie techniką grawerki laserowej.;Pojemność 15 wizytówek;;metal;eko-skóra;L2;laser;1;25;10;95.0;11.0;65.0;karton;opakowanie upominkowe;srebrny;;;czarny;srebrny;0.07;0.06;65.0;100.0;15.0;3.25;3.0;340.0;190.0;110.0;14.0;13.0;430.0;380.0;260.0;200;6000
R64194;Memo klip;;1,76 zł;;Do biura;Na biurko;Wykonany z nieprzeźroczystego akrylu i metalu memo-klip.  Pozostawiona wiadomość umili dzień naszym bliskim. Pakowany pojedynczo w woreczek foliowy. Logo umieścimy na kostce techniką tampondruku. ;;;akryl;metal;A1;tampodruk;4;20;20;25.0;25.0;113.0;folia;woreczek foliowy;bezbarwny;;;czarny;;0.02;0.02;120.0;25.0;25.0;1.25;1.1;150.0;140.0;135.0;6.5;5.0;290.0;165.0;290.0;200;19200
R64195;Memo klip;;1,76 zł;;Do biura;Na biurko;Wykonany z akrylu i metalu memo-klip.  Pozostawiona wiadomość umili dzień naszym bliskim. Pakowany w woreczek foliowy. Logo umieścimy na kostce techniką tampondruku. ;;;akryl;metal;A1;tampodruk;4;20;20;25.0;25.0;113.0;folia;woreczek foliowy;bezbarwny;;;bezbarwny;;0.02;0.02;120.0;25.0;25.0;1.25;1.1;150.0;140.0;135.0;6.5;5.0;290.0;165.0;290.0;200;19200
R64196;Memo-klip;;1,38 zł;;Do biura;Na biurko;Nigdy za dużo znaków miłości. Idealny prezent dla zakochanych. Wykonany z plastiku i metalu memo-klip w kształcie serduszka. Pakowany w woreczek foliowy.;;;plastik;metal;A1;tampodruk;4;30;30;65.0;55.0;230.0;folia;woreczek foliowy;bezbarwny;;;czerwony;;0.04;0.04;60.0;70.0;10.0;;;;;;12.0;10.0;320.0;310.0;150.0;250;24000
R64211;Podkładka z kalkulatorem;;25,90 zł;;Do biura;Akcesoria osobiste;Praktyczna podkładka z kalkulatorem. Przydatna na spotkaniach, zebraniach i szkoleniach. Pakowana w kartonowe pudełko. Logo naniesiemy pod wyświetlaczem techniką tampondruku.;;;plastik;;A2;tampodruk;1;30;15;230.0;340.0;27.0;karton;pudełko kartonowe;biały;;;czarny;;0.53;0.5;350.0;235.0;35.0;8.0;7.5;560.0;355.0;245.0;16.0;15.0;585.0;373.0;516.0;30;480
R64225.02;Notatnik - czarny;;4,90 zł;;Do biura;Notesy;Notatnik z okładką moleskin. Zamykany elastyczną taśmą. Wyposażony w uchwyt na cienki długopis (maksymalna grubość 10mm). Gramatura 70 g. 80 kartek w kratkę. Papier kremowy chamois. Pakowany w woreczek foliowy. Logo naniesiemy na notes techniką tampondruku.;;;papier;moleskin;L2;laser;1;30;30;90.0;140.0;12.0;folia;woreczek foliowy;bezbarwny;;;czarny;;;;;;;;;;;;11.0;10.5;340.0;195.0;295.0;100;7200
R64225.04;Notatnik - niebieski;;4,90 zł;;Do biura;Notesy;Notatnik z okładką moleskin. Zamykany elastyczną taśmą. Wyposażony w uchwyt na cienki długopis (maksymalna grubość 10mm). Gramatura 70 g. 80 kartek w kratkę. Papier kremowy chamois. Pakowany w woreczek foliowy. Logo naniesiemy na notes techniką tampondruku.;;;papier;moleskin;L2;laser;1;30;30;90.0;140.0;12.0;folia;woreczek foliowy;bezbarwny;;;niebieski;;;;;;;;;;;;11.0;10.5;340.0;195.0;295.0;100;7200
